family,face,weight,style,source,file,bytes,status
AccanthisADFStd,(manifest),,,local-json,AccanthisADFStd.json,180,OK
AccanthisADFStd,Regular,400,normal,local-bundled,AccanthisADFStd-Regular.otf,51728,OK
AmaticSC,(manifest),,,local-json,AmaticSC.json,284,OK
AmaticSC,Regular,400,normal,local-bundled,AmaticSC-Regular.ttf,142164,OK
AmaticSC,Bold,700,normal,local-bundled,AmaticSC-Bold.ttf,146348,OK
Arimo,(manifest),,,local-json,Arimo.json,965,OK
Arimo,Regular,400,normal,local-bundled,Arimo-Regular.ttf,317652,OK
Arimo,Bold,700,normal,local-bundled,Arimo-Bold.ttf,318184,OK
Arimo,Semi Bold,600,normal,assetid-16658204806,Arimo-SemiBold.ttf,321660,OK
Arimo,Italic,400,italic,assetid-16658203384,Arimo-Italic.ttf,339884,OK
Arimo,Semi Bold Italic,600,italic,assetid-16658205285,Arimo-SemiBoldItalic.ttf,345020,OK
Arimo,Medium,500,normal,assetid-16658205823,Arimo-Medium.ttf,320664,OK
Arimo,Medium Italic,500,italic,assetid-16658204548,Arimo-MediumItalic.ttf,344472,OK
Arimo,Bold Italic,700,italic,assetid-16658202951,Arimo-BoldItalic.ttf,341288,OK
Balthazar,(manifest),,,local-json,Balthazar.json,166,OK
Balthazar,Regular,400,normal,local-bundled,Balthazar-Regular.ttf,28224,OK
Bangers,(manifest),,,local-json,Bangers.json,162,OK
Bangers,Regular,400,normal,local-bundled,Bangers-Regular.ttf,95664,OK
BuilderExtended,(manifest),,,local-json,BuilderExtended.json,674,OK
BuilderExtended,Regular,400,normal,local-bundled,BuilderExtended-Regular.otf,78708,OK
BuilderExtended,Semi Bold,600,normal,local-bundled,BuilderExtended-SemiBold.otf,78520,OK
BuilderExtended,Bold,700,normal,local-bundled,BuilderExtended-Bold.otf,79504,OK
BuilderExtended,Light,300,normal,assetid-16658206024,BuilderExtended-Light.otf,77000,OK
BuilderExtended,Extra Bold,800,normal,assetid-16658204300,BuilderExtended-ExtraBold.otf,78904,OK
BuilderMono,(manifest),,,local-json,BuilderMono.json,417,OK
BuilderMono,Light,300,normal,local-bundled,BuilderMono-Light.otf,59048,OK
BuilderMono,Regular,400,normal,local-bundled,BuilderMono-Regular.otf,58864,OK
BuilderMono,Bold,700,normal,local-bundled,BuilderMono-Bold.otf,62992,OK
BuilderSans,(manifest),,,local-json,BuilderSans.json,885,OK
BuilderSans,Regular,400,normal,local-bundled,BuilderSans-Regular.otf,77352,OK
BuilderSans,Medium,500,normal,local-bundled,BuilderSans-Medium.otf,77856,OK
BuilderSans,Bold,700,normal,local-bundled,BuilderSans-Bold.otf,77840,OK
BuilderSans,Extra Bold,800,normal,local-bundled,BuilderSans-ExtraBold.otf,77504,OK
BuilderSans,Semi Bold,600,normal,assetid-16480736149,BuilderSans-SemiBold.otf,78300,OK
BuilderSans,Light,300,normal,assetid-16480736281,BuilderSans-Light.otf,78124,OK
BuilderSans,Thin,100,normal,assetid-16480735997,BuilderSans-Thin.otf,75288,OK
ComicNeueAngular,(manifest),,,local-json,ComicNeueAngular.json,177,OK
ComicNeueAngular,Bold,400,normal,local-bundled,ComicNeue-Angular-Bold.ttf,62916,OK
Creepster,(manifest),,,local-json,Creepster.json,166,OK
Creepster,Regular,400,normal,local-bundled,Creepster-Regular.ttf,61368,OK
DenkOne,(manifest),,,local-json,DenkOne.json,163,OK
DenkOne,Regular,400,normal,local-bundled,DenkOne-Regular.ttf,44016,OK
Fondamento,(manifest),,,local-json,Fondamento.json,293,OK
Fondamento,Regular,400,normal,local-bundled,Fondamento-Regular.ttf,84160,OK
Fondamento,Italic,400,italic,local-bundled,Fondamento-Italic.ttf,64716,OK
FredokaOne,(manifest),,,local-json,FredokaOne.json,169,OK
FredokaOne,Regular,400,normal,local-bundled,FredokaOne-Regular.ttf,42452,OK
GrenzeGotisch,(manifest),,,local-json,GrenzeGotisch.json,1077,OK
GrenzeGotisch,Regular,400,normal,local-bundled,GrenzeGotisch-Regular.ttf,91596,OK
GrenzeGotisch,Bold,700,normal,local-bundled,GrenzeGotisch-Bold.ttf,91808,OK
GrenzeGotisch,Thin,100,normal,assetid-8075131149,GrenzeGotisch-Thin.ttf,94476,OK
GrenzeGotisch,Light,300,normal,assetid-8075126665,GrenzeGotisch-Light.ttf,94772,OK
GrenzeGotisch,Medium,500,normal,assetid-8075128072,GrenzeGotisch-Medium.ttf,94728,OK
GrenzeGotisch,Extra Light,200,normal,assetid-8075125354,GrenzeGotisch-ExtraLight.ttf,94712,OK
GrenzeGotisch,Extra Bold,800,normal,assetid-8075124119,GrenzeGotisch-ExtraBold.ttf,94936,OK
GrenzeGotisch,Semi Bold,600,normal,assetid-8075129532,GrenzeGotisch-SemiBold.ttf,94868,OK
GrenzeGotisch,Black,900,normal,assetid-8075122560,GrenzeGotisch-Black.ttf,94892,OK
Guru,(manifest),,,local-json,Guru.json,156,OK
Guru,Regular,400,normal,local-bundled,Guru-Regular.otf,695888,OK
HighwayGothic,(manifest),,,local-json,HighwayGothic.json,161,OK
HighwayGothic,Regular,400,normal,local-bundled,HWYGOTH.ttf,53012,OK
Inconsolata,(manifest),,,local-json,Inconsolata.json,948,OK
Inconsolata,Regular,400,normal,local-bundled,Inconsolata-Regular.ttf,80456,OK
Inconsolata,Medium,500,normal,assetid-8075138871,Inconsolata-Medium.ttf,98304,OK
Inconsolata,Bold,700,normal,assetid-8075133734,Inconsolata-Bold.ttf,98260,OK
Inconsolata,Semi Bold,600,normal,assetid-8075152559,Inconsolata-SemiBold.ttf,98400,OK
Inconsolata,Extra Light,200,normal,assetid-8075136215,Inconsolata-ExtraLight.ttf,98108,OK
Inconsolata,Light,300,normal,assetid-8075137743,Inconsolata-Light.ttf,97956,OK
Inconsolata,Black,900,normal,assetid-8075132286,Inconsolata-Black.ttf,98048,OK
Inconsolata,Extra Bold,800,normal,assetid-8075135080,Inconsolata-ExtraBold.ttf,98268,OK
IndieFlower,(manifest),,,local-json,IndieFlower.json,171,OK
IndieFlower,Regular,400,normal,local-bundled,IndieFlower-Regular.ttf,55300,OK
JosefinSans,(manifest),,,local-json,JosefinSans.json,1649,OK
JosefinSans,Regular,400,normal,local-bundled,JosefinSans-Regular.ttf,58548,OK
JosefinSans,Extra Light,200,normal,assetid-8075158344,JosefinSans-ExtraLight.ttf,59288,OK
JosefinSans,Light,300,normal,assetid-8075162641,JosefinSans-Light.ttf,59308,OK
JosefinSans,Thin,100,normal,assetid-8075169096,JosefinSans-Thin.ttf,59124,OK
JosefinSans,Extra Light Italic,200,italic,assetid-8075159689,JosefinSans-ExtraLightItalic.ttf,62924,OK
JosefinSans,Thin Italic,100,italic,assetid-8075170443,JosefinSans-ThinItalic.ttf,62672,OK
JosefinSans,Light Italic,300,italic,assetid-8075163642,JosefinSans-LightItalic.ttf,62884,OK
JosefinSans,Medium Italic,500,italic,assetid-8075165536,JosefinSans-MediumItalic.ttf,63036,OK
JosefinSans,Medium,500,normal,assetid-8075164545,JosefinSans-Medium.ttf,59328,OK
JosefinSans,Italic,400,italic,assetid-8075161226,JosefinSans-Italic.ttf,62884,OK
JosefinSans,Semi Bold,600,normal,assetid-8075166660,JosefinSans-SemiBold.ttf,59324,OK
